2026-04-02 15:54:26.001950,Looking Right
2026-04-02 15:54:26.044517,Looking Right
2026-04-02 15:54:26.065361,Looking Right
2026-04-02 15:54:26.108558,Looking Right
2026-04-02 15:54:26.162494,Looking Right
2026-04-02 15:54:26.205819,Looking Right
2026-04-02 15:54:26.226547,Looking Right
2026-04-02 15:54:26.284625,Looking Right
2026-04-02 15:54:26.307272,Looking Right
2026-04-02 15:54:26.332546,Looking Right
2026-04-02 15:54:26.354736,Looking Right
2026-04-02 15:54:26.380084,Looking Right
2026-04-02 15:54:26.403095,Looking Right
2026-04-02 15:54:26.444939,Looking Right
2026-04-02 15:54:26.465392,Looking Right
2026-04-02 15:54:26.508786,Looking Right
2026-04-02 15:54:26.561751,Looking Right
2026-04-02 15:54:26.604181,Looking Right
2026-04-02 15:54:26.626514,Looking Right
2026-04-02 15:54:26.668475,Looking Right
2026-04-02 15:54:26.690401,Looking Right
2026-04-02 15:54:26.731175,Looking Right
2026-04-02 15:54:26.754095,Looking Right
2026-04-02 15:54:26.795712,Looking Right
2026-04-02 15:54:26.817764,Looking Right
2026-04-02 15:54:26.867074,Looking Right
2026-04-02 15:54:26.899467,Looking Right
2026-04-02 15:54:26.940798,Looking Right
2026-04-02 15:54:26.962618,Looking Right
2026-04-02 15:54:27.002490,Looking Right
2026-04-02 15:54:27.040107,Looking Right
2026-04-02 15:54:27.081844,Looking Right
2026-04-02 15:54:27.120844,Looking Right
2026-04-02 15:57:13.589927,Looking Right
2026-04-02 15:57:13.875463,Looking Right
2026-04-02 15:57:13.901191,Looking Right
2026-04-02 15:57:13.923223,Looking Right
2026-04-02 15:57:13.948941,Looking Right
2026-04-02 15:57:13.970877,Looking Right
2026-04-02 15:57:13.996923,Looking Right
2026-04-02 15:57:14.017689,Looking Right
2026-04-02 15:57:14.042550,Looking Right
2026-04-02 15:57:14.064051,Looking Right
2026-04-02 15:57:14.105162,Looking Right
2026-04-02 15:57:14.128564,Looking Right
2026-04-02 15:57:14.170170,Looking Right
2026-04-02 15:57:14.191886,Looking Right
